"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Drive Strength
1,PD00,,Available,In,,,,,,,
2,PD31,,Available,In,,,,,,,
4,PE00,,EBI_D8,n/a,n/a,No,Disabled,No,No,Disabled,Low
6,PE01,,EBI_D9,n/a,n/a,No,Disabled,No,No,Disabled,Low
7,PE02,,EBI_D10,n/a,n/a,No,Disabled,No,No,Disabled,Low
10,PE03,,EBI_D11,n/a,n/a,No,Disabled,No,No,Disabled,Low
11,PC00,,EBI_D0,n/a,n/a,No,Disabled,No,No,Disabled,Low
12,PC27,,Available,In,,,,,,,
13,PC26,,Available,In,,,,,,,
14,PC31,,Available,In,,,,,,,
15,PC30,,Available,In,,,,,,,
16,PC29,GFX_DISP_INTF_PIN_HSYNC,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
17,PC12,,Available,In,,,,,,,
18,PC15,,Available,In,,,,,,,
19,PC13,,Available,In,,,,,,,
20,PB01,,Available,In,,,,,,,
21,PB00,,Available,In,,,,,,,
22,PA20,GFX_DISP_INTF_PIN_RESET,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
23,PA19,,Available,In,,,,,,,
24,PA18,,Available,In,,,,,,,
25,PA17,,Available,In,,,,,,,
26,PB02,,Available,In,,,,,,,
27,PE04,,EBI_D12,n/a,n/a,No,Disabled,No,No,Disabled,Low
28,PE05,,EBI_D13,n/a,n/a,No,Disabled,No,No,Disabled,Low
31,PB03,,Available,In,,,,,,,
32,PA21,,Available,In,,,,,,,
34,PD30,,Available,In,,,,,,,
35,PA07,,Available,In,,,,,,,
36,PA08,,Available,In,,,,,,,
37,PA22,GFX_DISP_INTF_PIN_VSYNC,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
38,PC01,,EBI_D1,n/a,n/a,No,Disabled,No,No,Disabled,Low
39,PC02,,EBI_D2,n/a,n/a,No,Disabled,No,No,Disabled,Low
40,PC03,,EBI_D3,n/a,n/a,No,Disabled,No,No,Disabled,Low
41,PC04,,EBI_D4,n/a,n/a,No,Disabled,No,No,Disabled,Low
42,PA13,,Available,In,,,,,,,
45,PA16,,EBI_D15,n/a,n/a,No,Disabled,No,No,Disabled,Low
46,PA23,,Available,In,,,,,,,
47,PD27,,Available,In,,,,,,,
48,PC07,,EBI_D7,n/a,n/a,No,Disabled,No,No,Disabled,Low
49,PA15,,EBI_D14,n/a,n/a,No,Disabled,No,No,Disabled,Low
51,PA14,,Available,In,,,,,,,
52,PD25,,Available,In,,,,,,,
53,PD26,,Available,In,,,,,,,
54,PC06,,EBI_D6,n/a,n/a,No,Disabled,No,No,Disabled,Low
55,PD24,,Available,In,,,,,,,
56,PA24,,Available,In,,,,,,,
57,PD23,,Available,In,,,,,,,
58,PC05,,EBI_D5,n/a,n/a,No,Disabled,No,No,Disabled,Low
59,PA25,,Available,In,,,,,,,
60,PD22,,Available,In,,,,,,,
62,PA26,,Available,In,,,,,,,
63,PD21,,Available,In,,,,,,,
64,PA11,,Available,In,,,,,,,
65,PD20,,Available,In,,,,,,,
66,PA10,,Available,In,,,,,,,
67,PD19,,Available,In,,,,,,,
68,PA12,,Available,In,,,,,,,
69,PD18,,Available,In,,,,,,,
70,PA27,,Available,In,,,,,,,
71,PD28,BSP_MAXTOUCH_CHG,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
73,PA05,,Available,In,,,,,,,
74,PD17,,Available,In,,,,,,,
75,PA09,,Available,In,,,,,,,
76,PC28,,Available,In,,,,,,,
77,PA04,,TWIHS0_TWCK0,n/a,n/a,No,Disabled,No,No,Disabled,Low
78,PD16,,Available,In,,,,,,,
79,PB06,,Available,In,,,,,,,
82,PC08,,EBI_NWR0/NWE,n/a,n/a,No,Disabled,No,No,Disabled,Low
84,PD14,,Available,In,,,,,,,
86,PC09,,Available,In,,,,,,,
87,PB12,,Available,In,,,,,,,
88,PD13,,Available,In,,,,,,,
89,PB07,,Available,In,,,,,,,
90,PC10,,Available,In,,,,,,,
91,PA03,,TWIHS0_TWD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
92,PD12,GFX_DISP_INTF_PIN_LCDDISPEN,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
93,PA02,,Available,In,,,,,,,
94,PC11,GFX_DISP_INTF_PIN_DE,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
97,PC14,,Available,In,,,,,,,
98,PD11,,Available,In,,,,,,,
99,PA01,,Available,In,,,,,,,
100,PC16,,Available,In,,,,,,,
101,PD10,,Available,In,,,,,,,
102,PA00,,Available,In,,,,,,,
103,PC17,,Available,In,,,,,,,
105,PB04,,Available,In,,,,,,,
106,PD15,,Available,In,,,,,,,
108,PD29,,Available,In,,,,,,,
109,PB05,,Available,In,,,,,,,
110,PD09,,Available,In,,,,,,,
111,PC18,,Available,In,,,,,,,
112,PA28,,Available,In,,,,,,,
113,PD08,,Available,In,,,,,,,
114,PA06,,Available,In,,,,,,,
116,PA30,,Available,In,,,,,,,
117,PC19,GFX_DISP_INTF_PIN_BACKLIGHT,GPIO,Out,High,No,Disabled,No,No,Disabled,Low
118,PA31,,Available,In,,,,,,,
119,PD07,,Available,In,,,,,,,
120,PC20,,Available,In,,,,,,,
121,PD06,,Available,In,,,,,,,
122,PC21,,Available,In,,,,,,,
124,PC22,,Available,In,,,,,,,
125,PD05,,Available,In,,,,,,,
126,PD04,,Available,In,,,,,,,
127,PC23,,Available,In,,,,,,,
128,PD03,,Available,In,,,,,,,
129,PA29,,Available,In,,,,,,,
130,PC24,,Available,In,,,,,,,
131,PD02,,Available,In,,,,,,,
132,PD01,,Available,In,,,,,,,
133,PC25,,Available,In,,,,,,,
141,PB08,,Available,In,,,,,,,
142,PB09,,Available,In,,,,,,,
144,PB13,,Available,In,,,,,,,
